,ROAD_NO,SPEED_LIMIT,LONGITUDE,LATITUDE,CRASH_DATE,CRASH_TIME,SEVERITY,TOTAL_BIKE_INVOLVED,TOTAL_TRUCK_INVOLVED,TOTAL_HEAVY_TRUCK_INVOLVED,TOTAL_MOTOR_CYCLE_INVOLVED,TOTAL_OTHER_VEHICLES_INVOLVED,TOTAL_PEDESTRIANS_INVOLVED,CRASH_YEAR
1,H028,60.0,115.896111,-31.88787,1/1/16,1750.0,Medical,0,0,0,0,2,0,16.0
3,1250050,60.0,115.885511,-31.92174,1/1/16,1340.0,Medical,0,0,0,0,2,0,16.0
4,H018,70.0,116.02831,-31.886042,1/1/16,130.0,Hospital,0,0,0,0,2,0,16.0
5,106Z025,,116.293941,-31.924675,1/1/16,610.0,Medical,0,0,0,0,1,0,16.0
6,H057,60.0,115.749286,-32.743768,2/1/16,1158.0,Medical,0,0,0,0,1,0,16.0
7,H004,60.0,115.008314,-29.30506,2/1/16,1810.0,Medical,0,0,0,0,1,0,16.0
8,M031,50.0,117.650152,-33.863163,2/1/16,1720.0,Fatal,0,0,1,0,1,0,16.0
10,1090564,60.0,115.924816,-31.855642,2/1/16,2000.0,Medical,0,0,0,0,2,0,16.0
13,H026,60.0,115.929673,-31.918508,2/1/16,835.0,Medical,0,0,0,0,2,0,16.0
14,1280307,60.0,115.819955,-31.934347,2/1/16,1840.0,Hospital,0,0,0,0,2,0,16.0
15,H018,70.0,116.027069,-31.867811,2/1/16,1655.0,Medical,0,0,0,0,2,0,16.0
17,M026,60.0,116.475839,-31.556137,2/1/16,1430.0,Hospital,0,0,0,0,1,0,16.0
18,M024,60.0,117.150087,-34.549491,2/1/16,1600.0,Hospital,0,0,0,0,1,0,16.0
19,H005,60.0,116.349498,-31.817269,3/1/16,1315.0,Medical,0,0,0,0,1,0,16.0
20,1070003,60.0,115.725468,-32.307864,3/1/16,1158.0,Hospital,0,0,0,0,1,0,16.0
21,H002,60.0,115.763579,-32.446786,3/1/16,1200.0,Medical,0,0,0,0,2,0,16.0
24,H028,60.0,115.83769,-31.888965,3/1/16,1150.0,Medical,0,0,0,0,2,0,16.0
25,H015,80.0,115.850592,-32.209813,4/1/16,46.0,Medical,0,0,0,0,1,0,16.0
27,H022,70.0,115.950973,-32.029174,4/1/16,1732.0,Medical,0,0,0,0,2,0,16.0
28,4240015,110.0,117.328086,-31.99788,4/1/16,1547.0,Fatal,0,0,0,1,0,0,16.0
29,1010001,60.0,115.916098,-32.115467,4/1/16,1145.0,Hospital,0,0,0,1,1,0,16.0
30,H005,60.0,115.927308,-31.940786,4/1/16,1655.0,Medical,0,0,0,0,2,0,16.0
32,1180004,60.0,115.779484,-32.047052,4/1/16,1420.0,Medical,0,0,0,0,2,0,16.0
34,1050004,60.0,115.78762,-32.276499,4/1/16,1030.0,Medical,0,0,0,0,2,0,16.0
35,H008,60.0,118.750295,-34.366263,4/1/16,1550.0,Medical,0,0,1,0,1,0,16.0
37,H026,60.0,115.930701,-31.917662,5/1/16,1700.0,Medical,0,0,0,0,3,0,16.0
39,1190007,60.0,115.79074,-32.046903,5/1/16,2027.0,Medical,0,0,0,0,2,0,16.0
40,3050035,80.0,117.382745,-34.942099,5/1/16,730.0,Medical,0,0,0,0,1,0,16.0
41,H851,60.0,115.855103,-31.865666,5/1/16,515.0,Medical,0,0,0,0,2,0,16.0
42,M066,60.0,116.568902,-33.204266,5/1/16,1644.0,Medical,0,0,0,0,2,0,16.0
43,1240007,60.0,115.840021,-31.944867,5/1/16,1440.0,Medical,0,0,0,0,3,0,16.0
45,1250059,60.0,115.878516,-31.862155,6/1/16,58.0,Hospital,0,0,0,0,1,0,16.0
47,H057,60.0,115.748877,-33.255489,6/1/16,1455.0,Medical,0,0,0,0,2,0,16.0
49,2110207,60.0,115.746601,-33.272873,6/1/16,1842.0,Medical,1,0,0,0,1,0,16.0
50,1250085,60.0,115.85068,-31.90151,6/1/16,1120.0,Medical,0,0,0,0,2,0,16.0
51,H016,80.0,115.823282,-31.917063,6/1/16,1700.0,Medical,0,0,0,0,2,0,16.0
52,H012,60.0,115.852189,-32.046247,6/1/16,1740.0,Medical,0,0,0,0,3,0,16.0
53,1180005,60.0,115.756977,-32.063566,6/1/16,1730.0,Medical,0,0,0,0,2,0,16.0
54,H027,70.0,115.973495,-32.003261,6/1/16,1100.0,Medical,0,1,0,0,1,0,16.0
56,H016,80.0,115.81981,-31.900956,6/1/16,1620.0,Hospital,0,0,0,1,1,0,16.0
57,1120003,60.0,115.901511,-31.894747,7/1/16,1254.0,Medical,0,0,0,0,1,0,16.0
58,3021012,50.0,117.894056,-35.013345,7/1/16,1457.0,Hospital,0,0,0,0,2,0,16.0
59,H804,70.0,115.749004,-31.722666,7/1/16,1540.0,Medical,0,0,0,0,1,0,16.0
60,H038,70.0,115.890175,-32.221726,7/1/16,1100.0,Hospital,0,0,0,0,2,0,16.0
61,1090655,60.0,115.924768,-31.857726,7/1/16,1345.0,Medical,0,0,0,0,2,0,16.0
62,H018,70.0,115.984391,-31.988408,7/1/16,1020.0,Medical,0,1,0,0,2,0,16.0
63,1050214,70.0,115.805853,-32.211325,7/1/16,1525.0,Medical,0,0,0,0,2,0,16.0
64,H013,60.0,115.861723,-32.001081,7/1/16,810.0,Medical,0,0,0,0,2,0,16.0
65,H002,60.0,115.793545,-32.056794,7/1/16,1615.0,Medical,0,0,0,0,2,0,16.0
66,M016,60.0,117.337736,-31.167194,7/1/16,1345.0,Medical,0,0,0,0,1,0,16.0
67,3020607,60.0,117.517613,-35.005394,8/1/16,1313.0,Medical,0,0,0,0,2,0,16.0
68,1100168,60.0,115.856913,-31.800832,8/1/16,1830.0,Fatal,0,0,0,0,2,0,16.0
69,1101403,70.0,115.832541,-31.834164,8/1/16,1700.0,Hospital,1,0,0,0,1,0,16.0
70,H006,50.0,116.033278,-31.687903,8/1/16,950.0,Hospital,0,0,0,0,1,0,16.0
71,1190680,70.0,115.842207,-32.060028,8/1/16,1110.0,Medical,0,0,0,0,2,0,16.0
73,1311287,60.0,115.773604,-31.795473,8/1/16,1040.0,Medical,0,0,0,0,2,0,16.0
74,H026,60.0,115.885405,-31.934111,8/1/16,820.0,Medical,0,0,0,0,2,0,16.0
76,1240007,60.0,115.839613,-31.945297,8/1/16,1430.0,Medical,0,1,0,0,3,0,16.0
77,H005,60.0,116.026102,-31.894017,8/1/16,810.0,Medical,0,0,0,0,2,0,16.0
78,1090521,70.0,115.981636,-31.846098,9/1/16,1517.0,Hospital,0,0,0,1,0,0,16.0
